Obs,Springwood fibers,Summerwood fibers,% Springwood,% Springwood light absorption,% Summerwood light absorption,Specific gravity
1,573,1059,46.5,53.8,84.1,0.534
2,651,1356,52.7,54.5,88.7,0.535
3,606,1273,49.4,50.1,92,0.57
4,630,1151,48.9,50.3,87.9,0.528
5,615,1233,53.1,55.2,91.5,0.548
6,557,1236,54.9,55.2,91.4,0.555
7,489,1231,52.1,45.5,91.3,0.481
8,685,1564,56.6,44.3,91.3,0.516
9,536,1182,59.2,46.4,85.4,0.475
10,664,1335,49.8,48.1,87.3,0.486
11,664,1588,50.6,48.4,89.7,0.554
12,703,1335,52.7,49.1,87.7,0.519
13,653,1395,62.5,51.6,89.2,0.492
14,586,1114,50.5,56.5,88.9,0.517
15,534,1143,52.1,56.5,88.9,0.527
16,523,1320,50.5,61.2,91.9,0.508
17,448,1209,54.6,57.1,91.9,0.506
18,448,1028,52.2,53,88.6,0.52
19,476,1057,42.9,53.2,92.9,0.569
20,528,1057,42.4,56.6,90,0.568
